filename,palette
Pic (256).jpg,"#bf968f, #9e5e4e, #eca998, #982a04, #c97b54, #bd4204, #c66026, #cbafbb, #e5cace"
Pic (155).jpg,"#ec3c39, #f85b56, #861b11, #f6230f, #bd2a0f, #e8af55, #847c6b, #978fa5, #cbbfcd"
Pic (39).jpg,"#939fb6, #ee5c9e, #e83c73, #d5184b, #c9091f, #9c1020, #c35d3b, #71925d, #adc2ae"
Pic (229).jpg,"#be1407, #c66e60, #7a2b15, #2f1d16, #c8ae9a, #dba032, #8c6f2e, #beab58, #a8cf3e"
Pic (128).jpg,"#d90910, #da5240, #342119, #6c4f3a, #d97c38, #b65e0c, #df9816, #78d626, #f5f5f5"
Pic (74).jpg,"#c60608, #77331a, #2e1d16, #d4bbaa, #aeaa34, #d5dd5e, #c4d333, #7f9f38, #5c8c24"
Pic (194).jpg,"#1b8ae3, #8bb9e4, #609fe9, #0c44bc, #3e68c4, #b77c17, #ceac36, #1a2223, #ccbdab"
Pic (214).jpg,"#642c0f, #5e5148, #82755f, #9c6404, #c2b48e, #dcb42e, #bbac66, #221e17, #9f8f8a"
Pic (240).jpg,"#5478a5, #c45c94, #c3556c, #992025, #c72528, #82543b, #88817c, #9bb1b6, #c4c5cf"
Pic (227).jpg,"#b30e0a, #e81709, #69190d, #f2590e, #655443, #9b8971, #b87f15, #f1d818, #26190b"
Pic (110).jpg,"#d0210f, #d06552, #812310, #51281f, #b34824, #ef6316, #ea8f3b, #1a171c, #716d66"
Pic (210).jpg,"#db1f0c, #d37468, #93270d, #eb5617, #f17f26, #daa06f, #6f675b, #191517, #c2bdc5"
Pic (243).jpg,"#82a1a1, #e7686e, #c92810, #84270e, #795c1c, #b39040, #bfa76c, #74706b, #b8b3b1"
Pic (204).jpg,"#f43c64, #e0303c, #f30608, #d8881e, #dfbe17, #184223, #17bb63, #a8a4b3, #cfd6e2"
Pic (310).jpg,"#8cb4f2, #d41030, #ad070d, #751210, #897d50, #99800f, #d5bf58, #201f1d, #aea78f"
Pic (308).jpg,"#25b0b4, #5fcbcf, #e85f5f, #eb0908, #982219, #856131, #f0d87e, #f4da17, #27150f"
Pic (142).jpg,"#82a0c6, #3d5993, #c7171d, #9f2419, #662c21, #745d2d, #dbc723, #201910, #d9d8de"
Pic (64).jpg,"#54a4fc, #752a18, #b05a40, #9c7c6e, #884e32, #c58941, #8c9e54, #aeb0ad, #e0dddc"
Pic (32).jpg,"#fc8cac, #f44c74, #d1383a, #e4684a, #51392d, #e6a279, #7e6350, #edb654, #e4e3df"
Pic (93).jpg,"#7f94a9, #7c4424, #ac7c54, #b3a384, #77673f, #8ca84f, #8b8873, #9cb4be, #c1d4e2"
Pic (45).jpg,"#157ec2, #67747e, #044cbc, #043183, #b46454, #c18d7a, #8a5536, #8f8587, #b2b7be"
Pic (150).jpg,"#c46c60, #562e22, #983e1f, #7c2808, #c5cc58, #728a21, #a0c33c, #aea296, #decdc3"
Pic (137).jpg,"#ba411a, #8d2807, #c96e1a, #c88c45, #935810, #dfaf64, #8e6e3c, #657533, #d6cec6"
Pic (135).jpg,"#2f9db2, #182a31, #8a3f18, #b4541c, #da996e, #b19077, #d48444, #f4bc8c, #e4e7ea"
